codigo_cbo,titulo,slug,grande_grupo_codigo,grande_grupo,subgrupo_principal_codigo,subgrupo_principal,subgrupo_codigo,subgrupo,empregados,salario_mediano_rais,escolaridade_tipica,salario_mediano_caged,admissoes,desligamentos,saldo_periodo,n_ocupacoes,n_areas_atividade,n_atividades
0101,Oficiais generais das forças armadas,0101-oficiais-generais-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0102,Oficiais das forças armadas,0102-oficiais-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0103,Praças das forças armadas,0103-pracas-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0201,Oficiais superiores da polícia militar,0201-oficiais-superiores-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,3,9,128
0202,Capitães da  polícia militar,0202-capitaes-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,1,8,117
0203,Tenentes da polícia militar,0203-tenentes-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,2,9,123
0211,Subtenentes e sargentos da policia militar,0211-subtenentes-e-sargentos-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,021,PRAÇAS DE POLÍCIA MILITAR,,,,,,,,2,11,116
0212,Cabos e soldados da polícia militar,0212-cabos-e-soldados-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,021,PRAÇAS DE POLÍCIA MILITAR,,,,,,,,2,9,146
0301,Oficiais superiores do corpo de bombeiros militar,0301-oficiais-superiores-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,3,9,111
0302,Oficiais intermediários do corpo de bombeiros militar,0302-oficiais-intermediarios-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,1,9,84
0303,Tenentes do corpo de bombeiros militar,0303-tenentes-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,1,10,109
0311,Subtenentes e sargentos do corpo de bombeiros militar,0311-subtenentes-e-sargentos-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,031,PRAÇAS DE BOMBEIRO MILITAR,,,,,,,,2,9,77
0312,Cabos e soldados do corpo de bombeiros militar,0312-cabos-e-soldados-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,031,PRAÇAS DE BOMBEIRO MILITAR,,,,,,,,2,8,102
1111,Legisladores,1111-legisladores,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",3333,5540.66,Médio Completo,1880.0,273,107,166,4,0,0
1112,Dirigentes gerais da administração pública,1112-dirigentes-gerais-da-administracao-publica,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",26176,3965.69,Médio Completo,1750.0,1293,1075,218,11,0,0
